RemoteID;Description;Branch;Number_of_motors;M1_up;M1_down;M2_up;M2_down;M3_up;M3_down;M4_up;M4_down;M5_up;M5_down;Reset_up;Reset_down;Memory 1;Memory 2;Memory 3;Memory 4;Memoposition_save;Synch;Socket;UBL;Child_lock;Flashlight;Massage_program1;Massage_program2;Massage_program3;Massage_out;Show_massage_statistics;Zero Gravity;TV;Quiet Sleep;Flat;Tilt;Widget
77995;RF-TOUCH/BRW/BK/18/1869/L;bedding;3;n;n;y;y;y;y;y;y;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
77996;RF-TOUCH/BK/BRW/18/1870/03;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78031;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
78033;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
78080;RF-TOUCH/BRW/BK/16/1889/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78081;RF-TOUCH/BRW/BK/16/1889/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78102;RF-TOUCH/BRW/BK/18/1892/L;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78103;RF-TOUCH/BRW/BK/20/1890/L;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78105;RF-TOUCH/BRW/BK/16/1893/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78109;RF-TOUCH/BRW/BK/18/1891/L;bedding;4;n;n;y;y;y;y;y;y;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78110;RF-TOUCH/BRW/BK/18/1894/L;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78111;RF-TOUCH/BRW/BK/20/1895/L;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;y;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78237;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
78238;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
78281;REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
78283;SET REMOTE CONTROL 2,4GHz ECO 2MOTORIG;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
78375;RFS-ELLIPSE/WS-SW-06-1844/-/-/-/02 GR/---/--/2 ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
78378;RFS-ELLIPSE/WA-SW-06-1844/-/-/-/02 SW/---/--/2 ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
78379;RFS-ELLIPSE/WS-SW-09-1845/-/-/M/02;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;n;n;n;y;n;n;y;n;n;n;n;n;n;n;n;n;n;y;n;n
78381;RFS-ELLIPSE/WA-SW-09-1845/-/-/M/02 SW/UBB/--/2 ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;n;n;n;y;n;n;y;n;n;n;n;n;n;n;n;n;n;y;n;n
78386;RFS-ELLIPSE/WA-SW-06-1902/-/-/-/02 SW/---/--/2 ...;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;y;n;n
78737;RF-TOUCH/BRW/BK/21/1899/L;bedding;3;y;y;y;y;y;y;n;n;n;n;y;y;y;y;y;y;y;n;n;n;y;y;n;n;n;n;n;n;n;n;y;n;n
78773;RF-TOUCH/BRW/BK/19/1896;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78785;RF-TOUCH/BRW/BK/19/1897;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78791;RF-TOUCH/BRW/BK/19/1898/L;bedding;4;y;y;y;y;y;y;y;y;n;n;y;y;y;y;y;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78847;RF-TOUCH/BRW/BK/14/1923;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;n;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78854;RF-TOUCH/BRW/BK/14/1924/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;n;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
78860;RF-TOUCH/BRW/BK/14/1925/L;bedding;2;n;n;y;y;y;y;n;n;n;n;y;y;y;y;n;n;y;y;y;y;y;y;n;n;n;n;n;n;n;n;y;n;n
