package_id,title,developer,developer_id,play_url,relevance,reason,play_status,play_version,play_updated,apkpure_status,apkpure_version_name,apkpure_version_code,apkpure_release_date,apkpure_architectures,apkpure_url,latest_version_name,latest_version_code,cross_check,blocker
com.keeson.idealbed6iremote,iDealBed 6i Adjustable,South Bay International,/store/apps/developer?id=South+Bay+International,https://play.google.com/store/apps/details?id=com.keeson.idealbed6iremote,likely_bed_app,package or title contains a bed-control indicator,available,1.2.0,2026-03-18,available,1.2.0,11,2026-05-18,universal,https://apkpure.com/idealbed-6i-adjustable/com.keeson.idealbed6iremote,1.2.0,11,matched,
com.keeson.rondurewifi,Ronin WiFi,South Bay International,/store/apps/developer?id=South+Bay+International,https://play.google.com/store/apps/details?id=com.keeson.rondurewifi,not_bed_app,user-confirmed non-bed app,available,1.3.0,2026-03-17,available,1.3.0,23,2026-05-02,universal,https://apkpure.com/ronin-wifi/com.keeson.rondurewifi,1.3.0,23,matched,
com.keeson.smartbed,Ergo WiFi,Ergomotion,/store/apps/developer?id=Ergomotion,https://play.google.com/store/apps/details?id=com.keeson.smartbed,not_bed_app,user-confirmed non-bed app,available,1.33,2022-09-23,available,1.33,33,2022-09-28,arm64-v8a; armeabi-v7a,https://apkpure.com/ergo-wifi/com.keeson.smartbed,1.33,33,matched,
com.limoss.administrator.catalog,limoss Catalog,limoss GmbH & Co. KG,/store/apps/developer?id=limoss+GmbH+%26+Co.+KG,https://play.google.com/store/apps/details?id=com.limoss.administrator.catalog,not_bed_app,product catalog,available,1.0,2024-03-22,available,1.0,5,2024-05-12,universal,https://apkpure.com/limoss-catalog/com.limoss.administrator.catalog,1.0,5,matched,
com.limoss.fsmrelax,FSM Relax,limoss GmbH & Co. KG,/store/apps/developer?id=limoss+GmbH+%26+Co.+KG,https://play.google.com/store/apps/details?id=com.limoss.fsmrelax,likely_bed_app,package or title contains a bed-control indicator,available,1.9,2024-03-27,unavailable,,,2024-03-27,,https://apkpure.com/fsm-relax/com.limoss.fsmrelax,1.9,,google_play_only,
com.linak.bedconnect.iot,Bed Connect,LINAK,/store/apps/dev?id=8797908623101889650,https://play.google.com/store/apps/details?id=com.linak.bedconnect.iot,likely_bed_app,package or title contains a bed-control indicator,available,5.2.4,2025-02-03,not_found,,,,,,5.2.4,,google_play_only,
com.linak.deskconnect,Desk Connect,LINAK,/store/apps/dev?id=8797908623101889650,https://play.google.com/store/apps/details?id=com.linak.deskconnect,not_bed_app,desk/workplace controller,available,1.2.1,2025-11-03,available,1.2.1,29,2026-03-05,arm64-v8a,https://apkpure.com/desk-connect/com.linak.deskconnect,1.2.1,29,matched,
com.linak.deskcontrol,Desk Control,LINAK,/store/apps/dev?id=8797908623101889650,https://play.google.com/store/apps/details?id=com.linak.deskcontrol,not_bed_app,desk/workplace controller,available,,2024-11-15,available,2.1.5,166,2024-11-17,universal,https://apkpure.com/desk-control/com.linak.deskcontrol,2.1.5,166,apkpure_only,
com.linak.myrecliner,My Recliner,LINAK,/store/apps/dev?id=8797908623101889650,https://play.google.com/store/apps/details?id=com.linak.myrecliner,not_bed_app,recliner controller,available,2.0.1,2026-07-07,available,2.0.0,18,2026-07-07,arm64-v8a,https://apkpure.com/my-recliner/com.linak.myrecliner,2.0.1,,version_mismatch,Google Play reports 2.0.1; APKPure reports 2.0.0
com.logicdata.app.android.pad.bed,LOGICDATA MOTIONrelax Tablets,LOGICDATA Electronic & Software Entwicklungs GmbH,/store/apps/developer?id=LOGICDATA+Electronic+%26+Software+Entwicklungs+GmbH,https://play.google.com/store/apps/details?id=com.logicdata.app.android.pad.bed,likely_bed_app,package or title contains a bed-control indicator,available,1.0.4,2025-07-10,unavailable,,,2024-12-06,,https://apkpure.com/logicdata-motionrelax-tablets/com.logicdata.app.android.pad.bed,1.0.4,,google_play_only,
com.logicdata.app.mattress.bed,Smart Sleep Air Mattress,"Zhejiang Jiecang Linear Motion Technology Co.,Ltd","/store/apps/developer?id=Zhejiang+Jiecang+Linear+Motion+Technology+Co.,Ltd",https://play.google.com/store/apps/details?id=com.logicdata.app.mattress.bed,likely_bed_app,package or title contains a bed-control indicator,available,1.0.0,2026-05-26,unavailable,,,2026-05-26,,https://apkpure.com/smart-sleep-air-mattress/com.logicdata.app.mattress.bed,1.0.0,,google_play_only,
com.ly.homekobo,HOME KOBO,"ZHEJIANG TRI MIX TECHNOLOGY CO.,LTD.","/store/apps/developer?id=ZHEJIANG+TRI+MIX+TECHNOLOGY+CO.,LTD.",https://play.google.com/store/apps/details?id=com.ly.homekobo,likely_bed_app,user-confirmed bed app,available,1.4,2024-02-01,unavailable,,,2021-11-18,,https://apkpure.com/home-kobo/com.ly.homekobo,1.4,,google_play_only,
com.okin.adjustamattress,AdjustaMattress,DewertOkin Technology,/store/apps/developer?id=DewertOkin+Technology,https://play.google.com/store/apps/details?id=com.okin.adjustamattress,likely_bed_app,package or title contains a bed-control indicator,available,1.5.0,2026-03-25,removed,,,,,,1.5.0,,google_play_only,
com.okin.eshine,Eshine Sleep,DewertOkin Technology,/store/apps/developer?id=DewertOkin+Technology,https://play.google.com/store/apps/details?id=com.okin.eshine,likely_bed_app,package or title contains a bed-control indicator,available,1.1.8,2025-10-27,not_found,,,,,,1.1.8,,google_play_only,
com.okin.flex_demo,Flexsteel Pulse,DewertOkin Technology,/store/apps/developer?id=DewertOkin+Technology,https://play.google.com/store/apps/details?id=com.okin.flex_demo,likely_bed_app,package or title contains a bed-control indicator,available,1.3.1,2026-05-29,removed,,,,,,1.3.1,,google_play_only,
