package_id,application_names,archive_count,distinct_file_count,local_version_count,versions,latest_local_version_name,latest_local_version_code,archive_types,architectures,source_paths
com.keeson.ssbaudio,Sleep Harmony,1,1,1,1.0.0 (10),1.0.0,10,xapk,arm64-v8a,disassembly/apk/analyzed/Sleep Harmony_1.0.0_APKPure.xapk
com.leggett.android.universal,LP Control,2,2,2,2.6.0 (39218); 2.9.0 (46164),2.9.0,46164,xapk,arm64-v8a,disassembly/apk/analyzed/leggett/com.leggett.android.universal.xapk; disassembly/apk/analyzed/LP+Adjustable+Bed+Control_2.9.0_APKPure.xapk
com.leggett.patterns,LP Comfort,1,1,1,1.16.0 (2906),1.16.0,2906,xapk,arm64-v8a,disassembly/apk/analyzed/leggett/com.leggett.patterns.xapk
com.leggett.prodigy2,Prodigy 2,1,1,1,2.2.0 (44),2.2.0,44,apk,,disassembly/apk/analyzed/leggett/com.leggett.prodigy2.apk
com.leggett.prodigy2L,Prodigy 2L,1,1,1,1.2 (15),1.2,15,apk,,disassembly/apk/analyzed/leggett/com.leggett.prodigy2L.apk
com.leggett.prodigy4,Prodigy CE,1,1,1,1.2.0 (18),1.2.0,18,apk,,disassembly/apk/analyzed/leggett/com.leggett.prodigy4.apk
com.leggett.useries,Ultra Series,1,1,1,2.1 (16),2.1,16,apk,arm64-v8a; armeabi; armeabi-v7a; mips; x86,disassembly/apk/analyzed/leggett/com.leggett.useries.apk
com.leggettplatt.lp_pseries,Premier Series,1,1,1,1.30 (30),1.30,30,apk,arm64-v8a; armeabi; armeabi-v7a; mips; x86; x86_64,disassembly/apk/analyzed/leggett/com.leggettplatt.lp_pseries.apk
com.limoss.limossremote,limoss Remote,1,1,1,7.1.8 (44),7.1.8,44,xapk,arm64-v8a,disassembly/apk/analyzed/limossRemote_7.1.8_com.limoss.limossremote.xapk
com.limoss.stawett,stawett Remote,1,1,1,1.3 (10),1.3,10,apk,arm64-v8a; armeabi; armeabi-v7a,disassembly/apk/analyzed/stawett Remote (Legacy)_1.3_com.stawett.apk
com.linak.leggettandplatt,Performance Series,1,1,1,1.0 (124),1.0,124,apk,armeabi; armeabi-v7a; x86,disassembly/apk/analyzed/leggett/com.linak.leggettandplatt.apk
com.linak.linakbed.ble.memory,Bed Control,1,1,1,6.0.5 (259),6.0.5,259,xapk,armeabi-v7a,disassembly/apk/analyzed/Linak Bed Control_6.0.5_com.linak.linakbed.ble.memory.xapk
