source_path,archive_type,file_size_bytes,sha256,status,error,warnings,application_name,package_id,version_name,version_code,min_sdk_version,target_sdk_version,split_count,splits,architectures,identical_file_count,package_version_record_count,package_version_distinct_file_count,package_has_multiple_versions
disassembly/apk/analyzed/Casper Base_1.0.8_APKPure.xapk,xapk,25338705,2d21d42c17a7b5ae60c2403ff3654d80993e6d09f879cfe666c6d58270123f8b,ok,,,Casper Base,com.richmat.casperbase,1.0.8,10800,24,35,20,base=com.richmat.casperbase.apk; config.de=config.de.apk; config.tr=config.tr.apk; config.pt=config.pt.apk; config.en=config.en.apk; config.zh=config.zh.apk; config.arm64_v8a=config.arm64_v8a.apk; config.xhdpi=config.xhdpi.apk; config.vi=config.vi.apk; config.in=config.in.apk; config.ko=config.ko.apk; config.fr=config.fr.apk; config.my=config.my.apk; config.hi=config.hi.apk; config.it=config.it.apk; config.ru=config.ru.apk; config.ja=config.ja.apk; config.th=config.th.apk; config.ar=config.ar.apk; config.es=config.es.apk,arm64-v8a,2,2,1,False
disassembly/apk/analyzed/com.okin.sealy_1.1.1.xapk,xapk,135645139,191a5bb9056dfcd2a23e618a6f94b91c7a40bbd94d821c0430e1df76feab7737,ok,,,Sealy Posturematic,com.okin.sealy,1.1.1,126,23,34,6,base=com.okin.sealy.apk; config.arm64_v8a=config.arm64_v8a.apk; config.en=config.en.apk; config.fr=config.fr.apk; config.xxhdpi=config.xxhdpi.apk; config.armeabi_v7a=config.armeabi_v7a.apk,arm64-v8a; armeabi-v7a,1,1,1,False
"disassembly/apk/analyzed/com.selectcomfort.SleepIQ_5.3.32-1770980846_minAPI29(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",apk,90757788,a5a83b0d36cc49a28b11ed1f323e4c0d4c4152f0cf6d01e6e34b7f0b260f8be9,ok,,,Sleep Number,com.selectcomfort.SleepIQ,5.3.32,1770980846,29,35,0,,arm64-v8a; armeabi-v7a; x86; x86_64,1,1,1,False
disassembly/apk/analyzed/Comfort Motion_2.1.6_com.jiecang.app.android.jiecangbed.xapk,xapk,6868483,1a08849696695b3d8c7187f8ba0c6802f77560da8cd46054ced70da852ea4fed,ok,,,Comfort Motion,com.jiecang.app.android.jiecangbed,2.1.6,23,18,35,20,base=com.jiecang.app.android.jiecangbed.apk; config.ar=config.ar.apk; config.my=config.my.apk; config.en=config.en.apk; config.tr=config.tr.apk; config.es=config.es.apk; config.pt=config.pt.apk; config.vi=config.vi.apk; config.ko=config.ko.apk; config.fr=config.fr.apk; config.zh=config.zh.apk; config.de=config.de.apk; config.th=config.th.apk; config.in=config.in.apk; config.it=config.it.apk; config.ru=config.ru.apk; config.arm64_v8a=config.arm64_v8a.apk; config.xxxhdpi=config.xxxhdpi.apk; config.ja=config.ja.apk; config.hi=config.hi.apk,arm64-v8a,1,1,1,False
disassembly/apk/analyzed/Cool Base_1.0.0_com.keeson.coolbase.xapk,xapk,5325591,f8b8968ee2247fa071dc919edf33d68255e377331d5de49aa96a5b25b7b74182,ok,,,Cool Base,com.keeson.coolbase,1.0.0,3,21,34,19,base=com.keeson.coolbase.apk; config.th=config.th.apk; config.ar=config.ar.apk; config.tr=config.tr.apk; config.ru=config.ru.apk; config.vi=config.vi.apk; config.in=config.in.apk; config.my=config.my.apk; config.en=config.en.apk; config.ja=config.ja.apk; config.de=config.de.apk; config.hi=config.hi.apk; config.fr=config.fr.apk; config.xxxhdpi=config.xxxhdpi.apk; config.ko=config.ko.apk; config.es=config.es.apk; config.it=config.it.apk; config.zh=config.zh.apk; config.pt=config.pt.apk,,1,1,1,False
disassembly/apk/analyzed/Dawn House_1.0.9_APKPure.apk,apk,28432440,4af122b5c9a23a03d98ecf902df41c542c83d03246a00fc3e101e364c3535be2,ok,,,Dawn House,com.keeson.agingplace,1.0.9,82,26,33,0,,arm64-v8a; armeabi; armeabi-v7a; x86; x86_64,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.bedding.monitor.sleep_monitor.release.xapk,xapk,126461389,92e4bc4925494f66ef820cf5cdd334b2faba4443c800e664658d7165af0eb4c6,ok,,,OKIN SMART SLEEP,com.bedding.monitor.sleep_monitor.release,2.4.9,263,21,34,5,base=com.bedding.monitor.sleep_monitor.release.apk; config.mdpi=config.mdpi.apk; config.fr=config.fr.apk; config.en=config.en.apk; config.arm64_v8a=config.arm64_v8a.apk,arm64-v8a,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.BF.apk,apk,5850134,64982c7a35fed0c902061b7b0f732b15798a38688119c1d92d343052781a83d1,ok,,,La Cloud,com.BF,1.2.3,11,18,28,0,,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.apex.xapk,xapk,26819536,ae413a85a99d7fc6aa8ead9e1a1effc280d42470e02a8f28fb435f223dbe99e5,ok,,,Comfort Enhancement 3,com.okin.apex,1.4.0,5,23,35,20,base=com.okin.apex.apk; config.de=config.de.apk; config.in=config.in.apk; config.my=config.my.apk; config.pt=config.pt.apk; config.vi=config.vi.apk; config.es=config.es.apk; config.th=config.th.apk; config.en=config.en.apk; config.fr=config.fr.apk; config.ko=config.ko.apk; config.tr=config.tr.apk; config.xxhdpi=config.xxhdpi.apk; config.ar=config.ar.apk; config.arm64_v8a=config.arm64_v8a.apk; config.hi=config.hi.apk; config.it=config.it.apk; config.ja=config.ja.apk; config.ru=config.ru.apk; config.zh=config.zh.apk,arm64-v8a,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.adjustablelumbar.xapk,xapk,69634678,d262422bf104ee42dbc686f36791230890be93d3480e13e94707c1e19cf251d6,ok,,,Adjustable bed(Lumbar),com.okin.bedding.adjustablelumbar,1.1,29,23,34,20,base=com.okin.bedding.adjustablelumbar.apk; config.ko=config.ko.apk; config.ar=config.ar.apk; config.ru=config.ru.apk; config.en=config.en.apk; config.zh=config.zh.apk; config.arm64_v8a=config.arm64_v8a.apk; config.ja=config.ja.apk; config.de=config.de.apk; config.es=config.es.apk; config.hi=config.hi.apk; config.tr=config.tr.apk; config.fr=config.fr.apk; config.it=config.it.apk; config.vi=config.vi.apk; config.in=config.in.apk; config.pt=config.pt.apk; config.my=config.my.apk; config.xxxhdpi=config.xxxhdpi.apk; config.th=config.th.apk,arm64-v8a,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.adjustbed.xapk,xapk,69973022,8042f82558322f849bca5cfe7188b3d715abc939abecbf53d736311281e2a4fd,ok,,,Adjustable bed,com.okin.bedding.adjustbed,1.1,27,24,36,20,base=com.okin.bedding.adjustbed.apk; config.ar=config.ar.apk; config.tr=config.tr.apk; config.ja=config.ja.apk; config.pt=config.pt.apk; config.th=config.th.apk; config.xhdpi=config.xhdpi.apk; config.arm64_v8a=config.arm64_v8a.apk; config.en=config.en.apk; config.es=config.es.apk; config.hi=config.hi.apk; config.de=config.de.apk; config.my=config.my.apk; config.vi=config.vi.apk; config.zh=config.zh.apk; config.ru=config.ru.apk; config.fr=config.fr.apk; config.in=config.in.apk; config.it=config.it.apk; config.ko=config.ko.apk,arm64-v8a,2,2,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.alya.xapk,xapk,7529401,97f4628f183d7c26bb6bc8403b3f4b8106e0070f6d1eba1ed079f2264ce83152,ok,,,Alya Smart Furnishing,com.okin.bedding.alya,1.0.2,3,21,33,5,base=com.okin.bedding.alya.apk; config.mdpi=config.mdpi.apk; config.fr=config.fr.apk; config.en=config.en.apk; config.armeabi_v7a=config.armeabi_v7a.apk,armeabi-v7a,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.berun.xapk,xapk,27878931,05517e534752a415c07e5fd88af23b8d40bfa2de9c24bb7b098a72239af4cf8a,ok,,,BERUN,com.okin.bedding.berun,1.1.1,7,21,34,20,base=com.okin.bedding.berun.apk; config.vi=config.vi.apk; config.in=config.in.apk; config.tr=config.tr.apk; config.es=config.es.apk; config.my=config.my.apk; config.ja=config.ja.apk; config.th=config.th.apk; config.hi=config.hi.apk; config.ko=config.ko.apk; config.ar=config.ar.apk; config.de=config.de.apk; config.fr=config.fr.apk; config.pt=config.pt.apk; config.zh=config.zh.apk; config.xxhdpi=config.xxhdpi.apk; config.it=config.it.apk; config.ru=config.ru.apk; config.en=config.en.apk; config.arm64_v8a=config.arm64_v8a.apk,arm64-v8a,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.customaticclarity.xapk,xapk,2830672,1b1aeb6dc79d51b0b0ff4cce9fcb1e3fc0c1a99bc9fab12df683860d6e881c0d,ok,,,Rize Clarity,com.okin.bedding.customaticclarity,1.0.1,2,21,33,19,base=com.okin.bedding.customaticclarity.apk; config.de=config.de.apk; config.th=config.th.apk; config.hi=config.hi.apk; config.vi=config.vi.apk; config.ar=config.ar.apk; config.tr=config.tr.apk; config.ru=config.ru.apk; config.en=config.en.apk; config.xxxhdpi=config.xxxhdpi.apk; config.es=config.es.apk; config.it=config.it.apk; config.my=config.my.apk; config.in=config.in.apk; config.ko=config.ko.apk; config.fr=config.fr.apk; config.zh=config.zh.apk; config.ja=config.ja.apk; config.pt=config.pt.apk,,1,1,1,False
disassembly/apk/analyzed/dewertokin/com.okin.bedding.customaticdemo.xapk,xapk,2527557,24b3696d243b16653677cb7ad74f021096e43782b5b010e38e0e7816f64ff4d1,ok,,,Independence,com.okin.bedding.customaticdemo,1.1.0,5,21,34,19,base=com.okin.bedding.customaticdemo.apk; config.fr=config.fr.apk; config.pt=config.pt.apk; config.zh=config.zh.apk; config.th=config.th.apk; config.hi=config.hi.apk; config.vi=config.vi.apk; config.in=config.in.apk; config.ko=config.ko.apk; config.tr=config.tr.apk; config.ru=config.ru.apk; config.xxhdpi=config.xxhdpi.apk; config.ja=config.ja.apk; config.de=config.de.apk; config.it=config.it.apk; config.en=config.en.apk; config.ar=config.ar.apk; config.es=config.es.apk; config.my=config.my.apk,,1,1,1,False
